date min_age_limit available_capacity pincode name state_name district_name fee_type
16-05-2021 45 10 600053 "Varadharajapuram UPHC" "Tamil Nadu" Chennai Free
16-05-2021 45 10 600053 "Athipet UPHC" "Tamil Nadu" Chennai Free
17-05-2021 45 10 600050 "Korattur UPHC" "Tamil Nadu" Chennai Free
11-05-2021 45 9 600038 "ICF HOSPITAL" "Tamil Nadu" Chennai Free
11-05-2021 45 9 600083 "Saidapet West UPHC" "Tamil Nadu" Chennai Free
11-05-2021 45 9 600026 "Vadapalani West UPHC" "Tamil Nadu" Chennai Free
11-05-2021 45 9 600053 "Varadharajapuram UPHC" "Tamil Nadu" Chennai Free
11-05-2021 45 9 600005 "COMMUNITY COLLEGE UPHC" "Tamil Nadu" Chennai Free
11-05-2021 45 9 600083 "Nallankuppam UPHC" "Tamil Nadu" Chennai Free
11-05-2021 45 9 600040 "Agathiar Nagar UPHC" "Tamil Nadu" Chennai Free
12-05-2021 45 9 600107 "Nerkundram I UPHC" "Tamil Nadu" Chennai Free
12-05-2021 45 9 600005 "COMMUNITY COLLEGE UPHC" "Tamil Nadu" Chennai Free
13-05-2021 45 9 600107 "Nerkundram I UPHC" "Tamil Nadu" Chennai Free
14-05-2021 45 9 600053 "Varadharajapuram UPHC" "Tamil Nadu" Chennai Free
16-05-2021 45 9 600053 "Venkatapuram UPHC" "Tamil Nadu" Chennai Free
16-05-2021 45 9 600050 "Korattur UPHC" "Tamil Nadu" Chennai Free
16-05-2021 45 9 600050 "Padi UCHC - COVISHIELD" "Tamil Nadu" Chennai Free
17-05-2021 45 9 600053 "Menambedu UPHC" "Tamil Nadu" Chennai Free
17-05-2021 45 9 600053 "Venkatapuram UPHC" "Tamil Nadu" Chennai Free
17-05-2021 45 9 600053 "Athipet UPHC" "Tamil Nadu" Chennai Free
11-05-2021 45 8 600040 "SHENOY NAGAR 1 UPHC" "Tamil Nadu" Chennai Free
12-05-2021 45 8 600115 "INJAMBAKKAM UCHC 101" "Tamil Nadu" Chennai Free
13-05-2021 45 8 600005 "COMMUNITY COLLEGE UPHC" "Tamil Nadu" Chennai Free
